accountingYearMonthNumber|symbolCode|issueName|issuerServicesGroupExchangeCode|marketClassCode|currentShortPositionQuantity|previousShortPositionQuantity|stockSplitFlag|averageDailyVolumeQuantity|daysToCoverQuantity|revisionFlag|changePercent|changePreviousNumber|settlementDate
20180615|A|Agilent Technologies Inc.|A|NYSE|4751959|4484922||3037879|1.56||5.95|267037|2018-06-15
20180615|AA|Alcoa Corporation|A|NYSE|4940669|4061884||2960937|1.67||21.63|878785|2018-06-15
20180615|AAALF|Aareal Bank AG AKT|S|OTC|184876|113683||0|999.99||62.62|71193|2018-06-15
20180615|AABA|Altaba Inc. Common Stock|R|NNM|27816152|26714465||8857693|3.14||4.12|1101687|2018-06-15
20180615|AABVF|Aberdeen International Inc Ord|S|OTC|118|118||17062|1.00||0.00|0|2018-06-15
20180615|AAC|AAC Holdings, Inc.|A|NYSE|1921512|2042323||146903|13.08||-5.92|-120811|2018-06-15
20180615|AACAF|AAC Technologies Holdings Inc|S|OTC|3823314|2545351||10102|378.47||50.21|1277963|2018-06-15
20180615|AACAY|AAC Technologies Holdings Inc|S|OTC|65723|25893||120376|1.00||153.83|39830|2018-06-15
20180615|AACEY|Asia Cement (China) Holdings C|S|OTC|300|300||0|999.99||0.00|0|2018-06-15
20180615|AACS|American Commerce Solutions, I|S|OTC|1724|1724||15273|1.00||0.00|0|2018-06-15
20180615|AACTF|AURORA SOLAR TECHNOLOGIES INC|S|OTC|193|93||6466|1.00||107.53|100|2018-06-15
20180615|AADR|AdvisorShares Dorsey Wright AD|E|ARCA|6828|6038||31742|1.00||13.08|790|2018-06-15
20180615|AAGC|All American Gold Corp. Common|S|OTC|157774|16439||137528099|1.00||859.75|141335|2018-06-15
20180615|AAGIY|AIA Group, Ltd. Sponsored Amer|S|OTC|72696|107865||530074|1.00||-32.60|-35169|2018-06-15
20180615|AAIGF|AIA Group, Ltd. Ordinary Share|S|OTC|22849386|22649989||78093|292.59||0.88|199397|2018-06-15
20180615|AAL|American Airlines Group Inc. C|R|NNM|28343821|28629550||5567323|5.09||-1.00|-285729|2018-06-15
20180615|AALBF|Aalberts Industries NV Ordinar|S|OTC|12559|17174||7|999.99||-26.87|-4615|2018-06-15
20180615|AAMAF|Atlas Mara Co Nvest Ltd. Ordin|S|OTC|840|100||1203|1.00||740.00|740|2018-06-15
20180615|AAMC|Altisource Asset Mgmt Corp|B|AMEX|41698|42680||3155|13.22||-2.30|-982|2018-06-15
20180615|AAME|Atlantic American Corporation|R|NNM|10952|16137||5214|2.10||-32.13|-5185|2018-06-15
20180615|AAMMF|Almadex Minerals Ltd Ordinary|S|OTC|2491|9707||189157|1.00||-74.34|-7216|2018-06-15
20180615|AAN|Aaron's, Inc.|A|NYSE|3766045|3787074||578335|6.51||-0.56|-21029|2018-06-15
20180615|AANNF|Aroundtown SA Ordinary Shares|S|OTC|6753245|3298442||0|999.99||104.74|3454803|2018-06-15
20180615|AANR|ANR Inc New Common Class C-1|S|OTC|21560|16560||66523|1.00||30.19|5000|2018-06-15
20180615|AAOI|Applied Optoelectronics, Inc.|R|NNM|13180455|15096513||1669585|7.89||-12.69|-1916058|2018-06-15
20180615|AAON|AAON, Inc. Common Stock|R|NNM|3955798|3325927||238778|16.57||18.94|629871|2018-06-15
20180615|AAP|ADVANCE AUTO PARTS INC|A|NYSE|4375368|5518419||1039018|4.21||-20.71|-1143051|2018-06-15
20180615|AAPH|American Petro-Hunter, Inc. Co|S|OTC|20900|0||1808185|1.00||100.00|20900|2018-06-15
20180615|AAPL|Apple Inc. Common Stock|R|NNM|45270714|45958599||25523951|1.77||-1.50|-687885|2018-06-15
20180615|AASZF|Atlantic Sapphire AS Common Sh|S|OTC|110|110||3291|1.00||0.00|0|2018-06-15
