cik,name,classification,search_term
0001167483,TIGER GLOBAL MANAGEMENT LLC,tiger_cub,Tiger Global Management
0001135730,COATUE MANAGEMENT LLC,tiger_cub,Coatue Management
0001061165,LONE PINE CAPITAL LLC,tiger_cub,Lone Pine Capital
0001387322,Whale Rock Capital Management LLC,tiger_cub,Whale Rock Capital Management
0001569049,"LIGHT STREET CAPITAL MANAGEMENT, LLC",tiger_cub,Light Street Capital Management
0001747057,D1 Capital Partners L.P.,tiger_cub,D1 Capital Partners
0001353316,"Hound Partners, LLC",tiger_cub,Hound Partners
0001389507,"DISCOVERY CAPITAL MANAGEMENT, LLC / CT",tiger_cub,Discovery Capital Management
0001214822,STEADFAST CAPITAL MANAGEMENT LP,tiger_cub,Steadfast Capital Management
0001423053,CITADEL ADVISORS LLC,pod_shop,Citadel Advisors
0001273087,MILLENNIUM MANAGEMENT LLC,pod_shop,Millennium Management
0001736225,"ExodusPoint Capital Management, LP",pod_shop,ExodusPoint Capital Management
0001393825,Hudson Bay Capital Management LP,pod_shop,Hudson Bay Capital Management
0001665241,Schonfeld Strategic Advisors LLC,pod_shop,Schonfeld Strategic Advisors
0001454027,Verition Fund Management LLC,pod_shop,Verition Fund Management
0001758720,Walleye Capital LLC,pod_shop,Walleye Capital
0001179392,"TWO SIGMA INVESTMENTS, LP",quant,Two Sigma Investments
0001009207,"D. E. Shaw & Co., Inc.",quant,D. E. Shaw
0001167557,AQR CAPITAL MANAGEMENT LLC,quant,AQR Capital Management
0001318757,"MARSHALL WACE, LLP",quant,Marshall Wace
0000916542,ACADIAN ASSET MANAGEMENT LLC,quant,Acadian Asset Management
0001020066,"SANDS CAPITAL MANAGEMENT, LLC",concentrated,Sands Capital Management
0001088875,BAILLIE GIFFORD & CO,concentrated,Baillie Gifford
0001422848,Capital Research Global Investors,concentrated,Capital Research Global Investors
0001697748,ARK Investment Management LLC,concentrated,ARK Investment Management
0001034524,POLEN CAPITAL MANAGEMENT LLC,concentrated,Polen Capital Management
0001375534,GENERATION INVESTMENT MANAGEMENT LLP,concentrated,Generation Investment Management
0001553733,"Brave Warrior Advisors, LLC",concentrated,Brave Warrior Advisors
0001112520,AKRE CAPITAL MANAGEMENT LLC,concentrated,Akre Capital Management
0001517857,Soroban Capital Partners LP,concentrated,Soroban Capital Partners
0001138995,"GLENVIEW CAPITAL MANAGEMENT, LLC",concentrated,Glenview Capital Management
0001581811,Egerton Capital (UK) LLP,concentrated,Egerton Capital
0001336528,"Pershing Square Capital Management, L.P.",activist,Pershing Square Capital Management
0001040273,Third Point LLC,activist,Third Point
0001345471,"TRIAN FUND MANAGEMENT, L.P.",activist,Trian Fund Management
0001791786,Elliott Investment Management L.P.,activist,Elliott Investment Management
0001835549,ENGINE NO. 1 LLC,activist,Engine No 1
0001885245,Politan Capital Management LP,activist,Politan Capital Management
0001998597,"JANA Partners Management, LP",activist,Jana Partners
0000902219,WELLINGTON MANAGEMENT GROUP LLP,crossover,Wellington Management
